ID;Authors;Title;Venue;Year;Type;Sub-Type;Search engine;Link
1;Marco Troisi;8 best practices for microservices app sec;TechBeacon;2017;Grey;Blog post;Google;https://techbeacon.com/app-dev-testing/8-best-practices-microservices-app-sec
2;Jack Mannino;Security In The Land Of Microservices;AppSec EU 2017;2017;Grey;Video;Google;https://www.youtube.com/watch?v=JRmWlLY8MGE
3;Zach Gardner;Security in the Microservices Paradigm;Dzone;2017;Grey;Blog post;Google;https://dzone.com/articles/security-in-the-microservices-paradigm
4;Sumo Logic;Improving Security in Your Microservices Architecture;Sumo Logic;2019;Grey;Blog post;Google;https://www.sumologic.com/insight/microservices-architecture-security/
5;Thribhuvan Krishnamurthy;Transition to Microservice Architecture - Challenges;Beingtechie;2018;Grey;Blog post;Google;https://www.beingtechie.io/blog/transition-to-microservices-challenges
6;Vinay Sahni;Best Practices for Building a Microservice Architecture;Vinay Sahni;2019;Grey;Blog post;Google;https://www.vinaysahni.com/best-practices-for-building-a-microservice-architecture
7;Eric Boersma;Top 10 security traps to avoid when migrating from a monolith to microservices;Sqreen;2019;Grey;Blog post;Google;https://blog.sqreen.com/top-10-security-traps-to-avoid-when-migrating-from-a-monolith-to-microservices/
8;John Carnell;Securing your microservices;Manning;2017;Grey;Book chapter;Google;https://livebook.manning.com/book/spring-microservices-in-action/chapter-7?origin=product-toc
10;Ramaswamy Chandramouli;Security Strategies for Microservices-based Application Systems;NIST;2019;Grey;Whitepaper;Google;https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-204.pdf
12;Edureka;Microservices Security | Best Practices To Secure Microservices | Edureka;edureka!;2019;Grey;Video;Google;https://youtu.be/wpA0N7kHaDo
13;Sam Newman;Security and Microservices by Sam Newman;Devoxx;2016;Grey;Video;Google;https://youtu.be/ZXGaC3GR3zU
15;Chintan Jain;Top 10 Security Best Practices to secure your Microservices - AppSecUSA 2017;OWASP;2018;Grey;Video;Google;https://youtu.be/VtUQINsYXDM
16;Prabath Siriwardena;Microservices Security Landscape, WSO2 SF Summit 2019;WSO2;2019;Grey;Video;Google;https://youtu.be/6jGePTpbgtI
17;Michael Hofmann, Erin Schnabel, Katherine Stanley;Application security - Microservices Best Practices for Java;IBM Redbooks;2016;Grey;Book chapter;Google;https://books.google.cl/books?id=KdSrDQAAQBAJ&pg=PA71&lpg=PA71&dq=microservice+antipattern+security&source=bl&ots=zIWPo5zeaU&sig=ACfU3U1npBK1gv4wKXhK2RK4LBggOBkxmg&hl=es-419&sa=X&ved=2ahUKEwjkxtXljfvoAhVUHbkGHTG4CH44ChDoATABegQICRAB
18;Vinicius Feitosa Pacheco;Security - Microservice Patterns and Best Practices;Packt;2018;Grey;Book chapter;Google;https://books.google.cl/books?id=oyZKDwAAQBAJ&pg=PA142&lpg=PA142&dq=microservice+antipattern+security&source=bl&ots=R69A9BkhuG&sig=ACfU3U15RO5LuhWypFgdei2zx1Pd_azXPA&hl=es-419&sa=X&ved=2ahUKEwjkxtXljfvoAhVUHbkGHTG4CH44ChDoATADegQIBhAB#v=onepage&q=microservice%20antipattern%20securitysec&f=false
19;Arif Khan;How to Secure Your Microservices � Shopify Case Study;Dzone;2018;Grey;Blog post;Google;https://dzone.com/articles/bountytutorial-microservices-security-how-to-secur
20;Rodrigo Candido da Silva;Best Practices to Protect Your Microservices Architecture;Medium;2017;Grey;Blog post;Google;https://medium.com/@rcandidosilva/best-practices-to-protect-your-microservices-architecture-541e7cf7637f
21;Scott Matteson;10 tips for securing microservice architecture;Techrepublic;2017;Grey;Blog post;Google;https://www.techrepublic.com/article/10-tips-for-securing-microservice-architecture/
22;Radware;Microservice Architectures Challenge Traditional Security Practices;Radware;2020;Grey;Blog post;Google;https://blog.radware.com/security/2020/01/microservice-architectures-challenge-traditional-security-practices/
23;Joydip Kanjilal;4 fundamental microservices security best practices;SearchAppArchitecture;2020;Grey;Blog post;Google;https://searchapparchitecture.techtarget.com/tip/4-fundamental-microservices-security-best-practices
24;Scott Matteson;How to establish strong microservice security using SSL, TLS and API gateways;Techrepublic;2017;Grey;Blog post;Google;https://www.techrepublic.com/article/how-to-establish-strong-microservice-security-using-ssl-tls-and-api-gateways/
25;Prabath Siriwardena, Nuwan Dias;Microservices security in action;Manning;2020;Grey;Book;Google;https://livebook.manning.com/book/microservices-security-in-action/welcome/v-7/
26;Matt McLarty, Rob Wilson, and Scott Morrison;Securing Microservice APIs;O'Reilly;2018;Grey;Book;Google;https://secureservercdn.net/198.71.233.44/e3z.729.myftpupload.com/wp-content/uploads/2020/01/OReilly-eBook-Securing-Microservice-APIs-Sustainable-and-Scalable-Access-Control.pdf?time=1587657357
27;Farshad Abasi;Securing modern API- and microservices-based apps by design;IBM;2019;Grey;Blog post;Google;https://developer.ibm.com/technologies/api/articles/securing-modern-api-and-microservices-apps-1/
28;BILL DOERRFELD;How To Control User Identity Within Microservices;Nordic Apis;2018;Grey;Blog post;Google;https://nordicapis.com/how-to-control-user-identity-within-microservices/
29;Natasha Gupta;Security Strategies for DevOps, APIs, Containers and Microservices;Imperva;2018;Grey;Blog post;Google;https://www.imperva.com/blog/security-strategies-for-devops-apis-containers-and-microservices/
30;Renata Budko;Five Things You Need to Know About API Security;TheNewStack;2018;Grey;Blog post;Google;https://thenewstack.io/5-things-you-need-to-know-about-api-security/
31;WALLARM;Shift to Microservices: Evolve Your Security Practices & Container Security;WALLARM;2019;Grey;Blog post;Google;https://lab.wallarm.com/shift-to-microservices-evolve-your-security-practices-container-security/
32;Michael Douglass;Microservices Authentication & Authorization Best Practice;CodeBurst;2018;Grey;Blog post;Google;https://codeburst.io/i-believe-it-really-depends-on-your-environment-and-how-well-protected-the-different-pieces-are-7919bfa6bc86
33;Rami Sass;Security in the World of Microservices;ITProPortal;2017;Grey;Blog post;Google;https://www.itproportal.com/features/security-in-the-world-of-microservices/
34;Scott Behrens, Bryan Payne;Starting the Avalanche: Application DDoS in Microservice Architectures;Netflix Tech Blog;2017;Grey;Blog post;Google;https://netflixtechblog.com/starting-the-avalanche-640e69b14a06
35;VIRAG MODY;From Zero to Zero Trust;Gravitational;2020;Grey;Blog post;Google;https://gravitational.com/blog/zero-to-zero-trust/
36;Aaron Parecki;OAuth: When Things Go Wrong;OktaDev;2019;Grey;Video;Google;https://www.youtube.com/watch?v=H6MxsFMAoP8
37;Tom Smith;How to Secure APIs;Dzone;2019;Grey;Blog post;Google;https://dzone.com/articles/how-to-secure-apis
38;Gerry Gebel and David Brossard;Webinar: Securing APIs and Microservices with OAuth, OpenID Connect, and ABAC;Axiomatics;2018;Grey;Video;Google;https://www.youtube.com/watch?v=TnCPJUV9RnA
39;Srinath Perera;Walking the wire: Mastering the Four Decisions in Microservices Architecture;Medium;2016;Grey;Blog post;Google;https://medium.com/systems-architectures/walking-the-microservices-path-towards-loose-coupling-few-pitfalls-4067bf5e497a
40;Robert Lemos;App security in the microservices age: 4 best practices;TechBeacon;2019;Grey;Blog post;Google;https://techbeacon.com/app-dev-testing/app-security-microservices-age-4-best-practices
42;Tom Smith;How Do You Secure Microservices?;Dzone;2017;Grey;Blog post;Google;https://dzone.com/articles/how-do-you-secure-microservices
43;A. Nehme, V. Jesus, K. Mahbub and A. Abdallah;Securing Microservices;IT Professional;2019;White;Journal;IEEE Xplore;https://ieeexplore.ieee.org/abstract/document/8657392
44;T. Yarygina and A. H. Bagge;Overcoming Security Challenges in Microservice Architectures;Symposium on Service-Oriented System Engineering (SOSE);2018;White;Conference;IEEE Xplore;https://ieeexplore.ieee.org/abstract/document/8359144
45;"Christian Esposito ; Aniello Castiglione ; Kim-Kwang Raymond Choo";Challenges in Delivering Software in the Cloud as Microservices;IEEE Cloud Computing;2016;White;Journal;IEEE Xplore;https://ieeexplore.ieee.org/abstract/document/7742281
46;Kasun IndrasiriPrabath Siriwardena;Microservices Security Fundamentals;Microservices for the Enterprise. Apress, Berkeley, CA;2018;White;Book chapter;SpringerLink;https://link.springer.com/chapter/10.1007/978-1-4842-3858-5_11
47;Sourabh Sharma;Securing Microservices;Mastering Microservices with Java - Third Edition - Packt;2019;Grey;Book chapter;Scholar;https://www.packtpub.com/application-development/mastering-microservices-java-third-edition
48;Nic Jackson;Security;Building Microservices with Go - Packt;2017;Grey;Book chapter;Scholar;https://www.packtpub.com/application-development/building-microservices-go
49;Eberhard Wolff;Security;Microservices: Flexible Software Architecture - Addison-Wesley Professional;2016;Grey;Book chapter;Scholar;https://www.oreilly.com/library/view/microservices-flexible-software/9780134650449/
50;Sam Newman;Security;Building Microservices - O'Reilly Media, Inc.;2015;Grey;Book chapter;Scholar;https://www.oreilly.com/library/view/building-microservices/9781491950340/
51;"Justus Bogner ; Jonas Fritzsch ; Stefan Wagner ; Alfred Zimmermann";Microservices in Industry: Insights into Technologies, Characteristics, and Software Quality;International Conference on Software Architecture Companion (ICSA-C);2019;White;Conference;IEEE Xplore;https://ieeexplore.ieee.org/abstract/document/8712375
52;Tarek Ziad�;Securing Your Services;Python Microservices Development - Packt;2017;Grey;Book chapter;Scholar;https://www.packtpub.com/web-development/python-microservices-development
53;Graham Lea;Microservices Security: All The Questions You Should Be Asking;GrahamLea;2015;Grey;Blog post;Google;https://www.grahamlea.com/2015/07/microservices-security-questions/
54;Daniel Richter, Tim Neumann and Andreas Polze;Security Considerations for Microservice Architectures;International Conference on Cloud Computing and Services Science (CLOSER);2018;White;Conference;Scholar;https://www.scitepress.org/Papers/2018/67910/67910.pdf
55;Peter Nkomo, Marijke Coetzee;Software Development Activities for Secure Microservices;International Conference on Computational Science and Its Applications;2019;White;Conference;SpringerLink;https://link.springer.com/chapter/10.1007/978-3-030-24308-1_46
56;Antonio Nehme, Vitor Jesus, Khaled Mahbub, Ali Abdallah;Fine-Grained Access Control for Microservices;International Symposium on Foundations and Practice of Security;2018;White;Conference;SpringerLink;https://link.springer.com/chapter/10.1007/978-3-030-18419-3_19
58;Leon O'Neill;MICROSERVICE SECURITY � WHAT YOU NEED TO KNOW;Crashtest Security;2020;Grey;Blog post;Google;https://crashtest-security.com/microservice-security-what-you-need-to-know/
59;Matt Raible;11 Patterns to Secure Microservice Architectures;DZone;2020;Grey;Blog post;Google;https://dzone.com/articles/11-patterns-to-secure-microservice-architectures?edition=613291&utm_source=Weekly%20Digest&utm_medium=email&utm_campaign=Weekly%20Digest%202020-06-24
60;Md Kamaruzzaman;Microservice Architecture and its 10 Most Important Design Patterns;Towards data science;2020;Grey;Blog post;Google;https://towardsdatascience.com/microservice-architecture-and-its-10-most-important-design-patterns-824952d7fa41
61;Prabath Siriwardena;Challenges of Securing Microservices;Medium;2020;Grey;Blog post;Google;https://medium.facilelogin.com/challenges-of-securing-microservices-68b55877d154
62;Chandra Rajasekharaiah;Securing Microservices on Cloud;Cloud-Based Microservices. Apress, Berkeley, CA;2020;White;Book chapter;SpringerLink;https://link.springer.com/book/10.1007%2F978-1-4842-6564-2
63;Nuno Mateus-Coelho, Manuela Cruz-Cunha, Luis Gonzaga Ferreira;Security in Microservices Architectures;International Conference on ENTERprise Information System;2020;White;Conference;Scholar;https://www.researchgate.net/profile/Nuno_Mateus-Coelho/publication/329952695_Security_in_Microservices_Architectures/links/5fa9f59c299bf10f733310ba/Security-in-Microservices-Architectures.pdf